country,population,sex_ratio,employment_pct,unemployment_pct
Afghanistan,35530,106.3,10,8.6
Albania,2930,101.9,18.3,15.8
Algeria,41318,102.0,34.5,11.4
American Samoa,56,103.6,...,...
Andorra,77,102.3,-99,-99
Angola,29784,96.2,37.6,6.6
Anguilla,15,97.6,...,...
Antigua and Barbuda,102,92.3,...,...
Argentina,44271,95.9,24.8,6.5
Armenia,2930,88.8,15.7,16.6
Aruba,105,90.4,14,...
Australia,24451,99.3,21.2,5.5
Austria,8736,96.2,25.6,6.2
Azerbaijan,9828,99.3,14.2,5.2
Bahamas,395,95.9,14.2,14.7
Bahrain,1493,168.3,33.4,1.3
Bangladesh,164670,101.7,19.1,4
Barbados,286,91.9,19.3,11.3
Belarus,9468,87.0,32,0.5
Belgium,11429,97.3,21.2,8.3
Belize,375,99.2,15.9,11.5
Benin,11176,99.5,10.2,1
Bermuda,61,91.4,10.3,6.7
Bhutan,808,113.1,9.7,2.4
Bolivia (Plurinational State of),11052,100.2,21.1,3.8
"Bonaire, Sint Eustatius and Saba",25,-99.0,-99,-99
Bosnia and Herzegovina,3507,96.4,30.4,25.4
Botswana,2292,97.7,14.9,18.6
Brazil,209288,96.6,21.5,12.4
British Virgin Islands,31,97.1,...,-99
Brunei Darussalam,429,106.0,19.4,2.1
Bulgaria,7085,94.6,29.4,8.1
Burkina Faso,19193,99.5,4.9,2.9
Burundi,10864,96.9,2.6,1.7
Cabo Verde,546,99.3,11.5,10.5
Cambodia,16005,95.3,19.6,0.3
Cameroon,24054,100.2,8.7,4.6
Canada,36624,98.5,19.5,7.1
Cayman Islands,62,100.4,15.5,6.3
Central African Republic,4659,97.3,4.3,6.9
Chad,14900,100.2,2,5.8
Channel Islands,165,98.4,24.5,8.7
Chile,18055,98.2,22.9,6.8
China,1409517,106.3,23.9,4.6
"China, Hong Kong SAR",7365,85.1,14.9,3.5
"China, Macao SAR",623,92.3,17.7,3.2
Colombia,49066,96.8,16.6,10.5
Comoros,814,101.8,5.2,20
Congo,5261,100.1,25.8,11.5
Cook Islands,17,97.4,11.7,8.2
Costa Rica,4906,100.1,19.1,8.6
Croatia,4189,93.1,26.8,11.7
Cuba,11485,100.1,11.7,3
Cyprus,1180,100.2,16.7,10.3
Czechia,10618,96.7,37,3.9
Democratic People's Republic of Korea,25491,95.7,19.3,4.3
Democratic Republic of the Congo,81340,99.6,5.9,3.6
Denmark,5734,99.0,19.2,6
Djibouti,957,100.7,23.9,6.6
Dominica,74,103.0,...,...
Dominican Republic,10767,99.2,16.9,14.4
Ecuador,16625,99.9,19.2,5.8
Egypt,97553,102.3,25.3,11.5
El Salvador,6378,88.5,20.2,6.4
Equatorial Guinea,1268,124.0,18,7.7
Eritrea,5069,100.4,7.6,7.3
Estonia,1310,88.2,29,7.2
Ethiopia,104957,99.7,8.4,5.7
Falkland Islands (Malvinas),3,110.5,-99,1.2
Faroe Islands,49,107.2,...,4
Fiji,906,103.1,2.9,7.7
Finland,5523,97.2,22,8.9
France,64980,96.7,20.5,9.8
French Guiana,283,100.0,14.9,21.3
French Polynesia,283,103.7,16.9,17
Gabon,2025,105.6,19.1,18.1
Gambia,2101,98.0,14.4,29.7
Georgia,3912,91.4,11.2,11.4
Germany,82114,97.0,27.5,4.2
Ghana,28834,99.3,14.2,5.9
Gibraltar,35,101.8,-99,-99
Greece,11160,96.9,15,23
Greenland,56,112.1,12.6,9.7
Grenada,108,100.9,-99,...
Guadeloupe,450,86.4,13.5,26.1
Guam,164,102.6,14,10.7
Guatemala,16914,96.9,18.5,2.4
Guinea,12717,100.6,7.4,6.8
Guinea-Bissau,1861,96.9,5.8,6.5
Guyana,778,101.9,25.4,11.3
Haiti,10981,97.8,12.6,12.9
Holy See,1,219.2,-99,-99
Honduras,9265,99.4,21.6,5.6
Hungary,9722,90.7,29.8,4.5
Iceland,335,100.7,17.7,3.6
India,1339180,107.6,24.5,3.4
Indonesia,263991,101.4,22.4,5.8
Iran (Islamic Republic of),81163,101.2,32.5,11.3
Iraq,38275,102.5,21,16.1
Ireland,4762,98.4,17.7,7.6
Isle of Man,84,98.2,...,2.6
Israel,8322,98.7,17.9,5.9
Italy,59360,95.1,27.1,11.4
Jamaica,2890,99.0,15.3,13.1
Japan,127484,95.4,26.5,3
Jordan,9702,102.6,17.8,13.4
Kazakhstan,18204,93.9,20.4,5.6
Kenya,49700,98.8,8.6,10.8
Kiribati,116,97.3,...,...
Kuwait,4136,134.9,27.3,2.2
Kyrgyzstan,6045,98.4,21,7.7
Lao People's Democratic Republic,6858,99.5,4,1.5
Latvia,1950,84.9,23,9.6
Lebanon,6082,100.6,22.4,7
Lesotho,2233,94.4,20,27.5
Liberia,4732,101.8,11.7,4.1
Libya,6375,101.7,25.1,19.2
Liechtenstein,38,98.4,-99,2.6
Lithuania,2890,85.4,24.5,9.2
Luxembourg,584,101.0,10.2,5.6
Madagascar,25571,99.5,9.4,2.3
Malawi,18622,98.2,4.8,6.8
Malaysia,31624,106.7,27.3,3.3
Maldives,436,131.8,22.8,2.9
Mali,18542,100.2,14.7,8.1
Malta,431,100.9,20.9,5.4
Marshall Islands,53,104.5,...,4.7
Martinique,385,83.5,11.8,22.8
Mauritania,4420,101.6,9.5,12
Mauritius,1265,97.9,25.2,7.6
Mayotte,253,96.7,-99,-99
Mexico,129163,99.2,25.2,4.1
Micronesia (Federated States of),106,105.1,-99,-99
Monaco,39,94.7,-99,...
Mongolia,3076,97.9,20.7,6.3
Montenegro,629,97.4,17.3,17.4
Montserrat,5,106.0,-99,5.6
Morocco,35740,98.1,20.7,10.4
Mozambique,29669,95.5,4.1,24.1
Myanmar,53371,95.5,14.6,0.8
Namibia,2534,94.7,14.6,24.9
Nauru,11,101.9,-99,23
Nepal,29305,94.3,10.9,3
Netherlands,17036,99.0,15.9,5.6
New Caledonia,276,101.5,26.9,15.1
New Zealand,4706,96.7,21.4,5.5
Nicaragua,6218,97.2,14.5,6.1
Niger,21477,100.6,14.4,2.7
Nigeria,190886,102.7,14.7,5.4
Niue,2,100.0,...,...
Northern Mariana Islands,55,107.1,...,...
Norway,5305,101.8,20.2,5.1
Oman,4636,192.8,39.6,17.8
Pakistan,197016,105.6,19.8,5.9
Palau,22,113.3,...,...
Panama,4099,100.4,19.6,6.2
Papua New Guinea,8251,103.5,5.7,2.5
Paraguay,6811,102.9,19.5,5.5
Peru,32166,99.8,17.3,5.3
Philippines,104918,101.3,16.3,5.9
Poland,38171,93.4,29.6,5.3
Portugal,10330,89.8,23.8,10.5
Puerto Rico,3663,92.6,17.5,12.8
Qatar,2639,301.2,54.1,0.3
Republic of Korea,50982,100.2,24.7,3.6
Republic of Moldova,4051,92.2,30.9,5
Romania,19679,94.0,27.7,7.1
Russian Federation,143990,86.8,27.1,5.8
Rwanda,12208,96.2,7.2,2.4
Saint Helena,4,-99.0,...,...
Saint Kitts and Nevis,55,97.0,...,...
Saint Lucia,179,95.9,17.6,19
Saint Pierre and Miquelon,6,98.2,-99,-99
Saint Vincent and the Grenadines,110,101.7,16.1,19.1
Samoa,196,106.6,14.8,6.5
San Marino,33,94.9,...,6.6
Sao Tome and Principe,204,99.2,13.5,13.6
Saudi Arabia,32938,132.9,22.7,5.5
Senegal,15851,96.6,20.7,9.3
Serbia,8791,95.6,24.5,15.5
Seychelles,95,97.2,17.9,4.1
Sierra Leone,7557,98.1,6.5,3.1
Singapore,5709,97.7,17,2
Sint Maarten (Dutch part),40,95.7,-99,-99
Slovakia,5448,94.6,34.5,9.9
Slovenia,2080,98.6,29.6,8.1
Solomon Islands,611,103.4,2.4,31.4
Somalia,14742,99.3,4.8,6.6
South Africa,56717,96.4,26.2,26
South Sudan,12576,100.4,-99,...
Spain,46354,96.2,19.2,18.3
Sri Lanka,20877,92.5,25.9,5.2
State of Palestine,4921,102.9,29.8,24.2
Sudan,40533,99.9,20.4,13.4
Suriname,563,100.7,22.3,9.9
Swaziland,1367,93.9,17,25.1
Sweden,9911,100.2,18.2,7.3
Switzerland,8476,98.2,20.4,4.6
Syrian Arab Republic,18270,102.1,39.2,13.8
Tajikistan,8921,100.9,13.4,10.8
Thailand,69038,95.2,22.7,0.6
The former Yugoslav Republic of Macedonia,2083,100.0,29.2,27.3
Timor-Leste,1296,103.2,2,4.3
Togo,7798,99.4,8.7,6.8
Tokelau,1,100.0,-99,-99
Tonga,108,100.7,28.2,4.8
Trinidad and Tobago,1369,97.1,31.6,4.2
Tunisia,11532,97.6,29.4,14.6
Turkey,80745,97.0,27.5,10.8
Turkmenistan,5758,97.0,37.4,8.6
Turks and Caicos Islands,35,104.1,...,...
Tuvalu,11,102.0,-99,...
Uganda,42863,99.0,7.4,2.4
Ukraine,44223,86.0,24.6,8.8
United Arab Emirates,9400,262.4,21.1,3.7
United Kingdom,66182,97.4,18.4,5
United Republic of Tanzania,57310,97.8,6.4,2.7
United States of America,324460,98.0,17.2,4.9
United States Virgin Islands,105,91.1,24,9
Uruguay,3457,93.5,20.5,8.8
Uzbekistan,31911,99.4,23.9,8.9
Vanuatu,276,102.4,6.8,5.3
Venezuela (Bolivarian Republic of),31977,99.0,26.8,6.6
Viet Nam,95541,98.0,22.9,2.2
Wallis and Futuna Islands,12,93.4,-99,-99
Western Sahara,553,110.1,27.9,6.8
Yemen,28250,102.1,17.9,16.1
Zambia,17094,98.5,9.9,7.4
Zimbabwe,16530,95.0,7.3,5
